timestamp,benchmark,test_id,difficulty,success,num_moves,tokens_used,time_seconds,error,instance_id,size,complexity,similarity,parse_mode,lenient_rescue,model_id,model_tag,reasoning,temperature,backend,block_index,arm_order,schedule_hash,run_config_hash,finish_reason,prompt_tokens,completion_tokens,reasoning_tokens,requested_max_tokens,requested_reasoning,retries,retry_errors,response_model,provider,system_fingerprint
2026-07-30T13:42:05.925010+00:00,rubiks,13,7,False,0,701,4.283545017242432,Cube not solved,rubiksnom-d07-i013,3x3x3,7,0.2778,strict,,openai/gpt-5.5-20260423,gpt55-base,False,unset,openrouter,21,reason-first,fd2d98bc19145d78cd01bd6d15d026b0c750bd212053a5be39c7e04cc1096949,ce940593d9dd4a6b0887abccbe31ae381738ee88ec88defa94f23175d1796946,stop,624,77,0,32000,"{""effort"": ""none""}",0,,openai/gpt-5.5,OpenAI,
2026-07-30T13:53:43.165695+00:00,rubiks,15,7,False,0,676,2.48976469039917,Cube not solved,rubiksnom-d07-i015,3x3x3,6,0.3148,strict,,openai/gpt-5.5-20260423,gpt55-base,False,unset,openrouter,24,reason-first,fd2d98bc19145d78cd01bd6d15d026b0c750bd212053a5be39c7e04cc1096949,ce940593d9dd4a6b0887abccbe31ae381738ee88ec88defa94f23175d1796946,stop,624,52,0,32000,"{""effort"": ""none""}",0,,openai/gpt-5.5,OpenAI,
2026-07-30T14:03:08.737396+00:00,rubiks,35,7,False,0,676,2.495084047317505,Cube not solved,rubiksnom-d07-i035,3x3x3,7,0.2222,strict,,openai/gpt-5.5-20260423,gpt55-base,False,unset,openrouter,28,base-first,fd2d98bc19145d78cd01bd6d15d026b0c750bd212053a5be39c7e04cc1096949,ce940593d9dd4a6b0887abccbe31ae381738ee88ec88defa94f23175d1796946,stop,624,52,0,32000,"{""effort"": ""none""}",0,,openai/gpt-5.5,OpenAI,
2026-07-30T14:27:57.836354+00:00,rubiks,41,7,False,0,668,2.1026246547698975,Cube not solved,rubiksnom-d07-i041,3x3x3,7,0.3148,strict,,openai/gpt-5.5-20260423,gpt55-base,False,unset,openrouter,35,reason-first,fd2d98bc19145d78cd01bd6d15d026b0c750bd212053a5be39c7e04cc1096949,ce940593d9dd4a6b0887abccbe31ae381738ee88ec88defa94f23175d1796946,stop,624,44,0,32000,"{""effort"": ""none""}",0,,openai/gpt-5.5,OpenAI,
2026-07-30T15:08:00.083865+00:00,rubiks,49,7,False,0,665,2.3690590858459473,Cube not solved,rubiksnom-d07-i049,3x3x3,7,0.3704,strict,,openai/gpt-5.5-20260423,gpt55-base,False,unset,openrouter,46,base-first,fd2d98bc19145d78cd01bd6d15d026b0c750bd212053a5be39c7e04cc1096949,ce940593d9dd4a6b0887abccbe31ae381738ee88ec88defa94f23175d1796946,stop,624,41,0,32000,"{""effort"": ""none""}",0,,openai/gpt-5.5,OpenAI,
2026-07-30T15:09:46.975827+00:00,rubiks,42,7,False,0,675,4.222630977630615,Cube not solved,rubiksnom-d07-i042,3x3x3,7,0.3889,strict,,openai/gpt-5.5-20260423,gpt55-base,False,unset,openrouter,47,base-first,fd2d98bc19145d78cd01bd6d15d026b0c750bd212053a5be39c7e04cc1096949,ce940593d9dd4a6b0887abccbe31ae381738ee88ec88defa94f23175d1796946,stop,624,51,0,32000,"{""effort"": ""none""}",0,,openai/gpt-5.5,OpenAI,
2026-07-30T15:28:40.338645+00:00,rubiks,18,7,False,0,666,4.577708959579468,Cube not solved,rubiksnom-d07-i018,3x3x3,7,0.2222,strict,,openai/gpt-5.5-20260423,gpt55-base,False,unset,openrouter,53,reason-first,fd2d98bc19145d78cd01bd6d15d026b0c750bd212053a5be39c7e04cc1096949,ce940593d9dd4a6b0887abccbe31ae381738ee88ec88defa94f23175d1796946,stop,624,42,0,32000,"{""effort"": ""none""}",0,,openai/gpt-5.5,OpenAI,
2026-07-30T15:58:32.725438+00:00,rubiks,47,7,False,0,669,2.549386978149414,Cube not solved,rubiksnom-d07-i047,3x3x3,7,0.2593,strict,,openai/gpt-5.5-20260423,gpt55-base,False,unset,openrouter,65,reason-first,fd2d98bc19145d78cd01bd6d15d026b0c750bd212053a5be39c7e04cc1096949,ce940593d9dd4a6b0887abccbe31ae381738ee88ec88defa94f23175d1796946,stop,624,45,0,32000,"{""effort"": ""none""}",0,,openai/gpt-5.5,OpenAI,
2026-07-30T16:03:01.605423+00:00,rubiks,17,7,False,0,665,2.1597900390625,Cube not solved,rubiksnom-d07-i017,3x3x3,7,0.2593,strict,,openai/gpt-5.5-20260423,gpt55-base,False,unset,openrouter,66,reason-first,fd2d98bc19145d78cd01bd6d15d026b0c750bd212053a5be39c7e04cc1096949,ce940593d9dd4a6b0887abccbe31ae381738ee88ec88defa94f23175d1796946,stop,624,41,0,32000,"{""effort"": ""none""}",0,,openai/gpt-5.5,OpenAI,
2026-07-30T16:59:16.552294+00:00,rubiks,1,7,False,0,665,2.29351806640625,Cube not solved,rubiksnom-d07-i001,3x3x3,7,0.2222,strict,,openai/gpt-5.5-20260423,gpt55-base,False,unset,openrouter,82,reason-first,fd2d98bc19145d78cd01bd6d15d026b0c750bd212053a5be39c7e04cc1096949,ce940593d9dd4a6b0887abccbe31ae381738ee88ec88defa94f23175d1796946,stop,624,41,0,32000,"{""effort"": ""none""}",0,,openai/gpt-5.5,OpenAI,
