timestamp,benchmark,test_id,difficulty,success,num_moves,tokens_used,time_seconds,error,instance_id,size,complexity,similarity,parse_mode,lenient_rescue,model_id,model_tag,reasoning,temperature,backend,block_index,arm_order,schedule_hash,run_config_hash,finish_reason,prompt_tokens,completion_tokens,reasoning_tokens,requested_max_tokens,requested_reasoning,retries,retry_errors,response_model,provider,system_fingerprint
2026-07-30T13:17:08.633856+00:00,rubiks,47,1,True,1,2144,28.95427894592285,,rubiksnom-d01-i047,3x3x3,1,1.0,strict,,openai/gpt-5.5-20260423,gpt55-reason,True,unset,openrouter,7,base-first,fd2d98bc19145d78cd01bd6d15d026b0c750bd212053a5be39c7e04cc1096949,ce940593d9dd4a6b0887abccbe31ae381738ee88ec88defa94f23175d1796946,stop,624,1520,1513,32000,"{""effort"": ""medium""}",0,,openai/gpt-5.5,OpenAI,
2026-07-30T13:17:24.490490+00:00,rubiks,23,1,True,1,1136,14.536174058914185,,rubiksnom-d01-i023,3x3x3,1,1.0,strict,,openai/gpt-5.5-20260423,gpt55-reason,True,unset,openrouter,8,base-first,fd2d98bc19145d78cd01bd6d15d026b0c750bd212053a5be39c7e04cc1096949,ce940593d9dd4a6b0887abccbe31ae381738ee88ec88defa94f23175d1796946,stop,624,512,504,32000,"{""effort"": ""medium""}",0,,openai/gpt-5.5,OpenAI,
2026-07-30T13:20:30.602190+00:00,rubiks,30,1,True,1,1283,12.103538751602173,,rubiksnom-d01-i030,3x3x3,1,1.0,strict,,openai/gpt-5.5-20260423,gpt55-reason,True,unset,openrouter,11,base-first,fd2d98bc19145d78cd01bd6d15d026b0c750bd212053a5be39c7e04cc1096949,ce940593d9dd4a6b0887abccbe31ae381738ee88ec88defa94f23175d1796946,stop,624,659,651,32000,"{""effort"": ""medium""}",0,,openai/gpt-5.5,OpenAI,
2026-07-30T13:30:13.373043+00:00,rubiks,18,1,False,0,1123,12.673924207687378,Cube not solved,rubiksnom-d01-i018,3x3x3,1,0.7778,strict,,openai/gpt-5.5-20260423,gpt55-reason,True,unset,openrouter,14,reason-first,fd2d98bc19145d78cd01bd6d15d026b0c750bd212053a5be39c7e04cc1096949,ce940593d9dd4a6b0887abccbe31ae381738ee88ec88defa94f23175d1796946,stop,624,499,492,32000,"{""effort"": ""medium""}",0,,openai/gpt-5.5,OpenAI,
2026-07-30T13:38:40.041721+00:00,rubiks,29,1,True,1,1926,24.33978796005249,,rubiksnom-d01-i029,3x3x3,1,1.0,strict,,openai/gpt-5.5-20260423,gpt55-reason,True,unset,openrouter,20,reason-first,fd2d98bc19145d78cd01bd6d15d026b0c750bd212053a5be39c7e04cc1096949,ce940593d9dd4a6b0887abccbe31ae381738ee88ec88defa94f23175d1796946,stop,624,1302,1295,32000,"{""effort"": ""medium""}",0,,openai/gpt-5.5,OpenAI,
2026-07-30T14:03:04.639583+00:00,rubiks,33,1,False,0,1450,17.536813020706177,Cube not solved,rubiksnom-d01-i033,3x3x3,1,0.7778,strict,,openai/gpt-5.5-20260423,gpt55-reason,True,unset,openrouter,27,reason-first,fd2d98bc19145d78cd01bd6d15d026b0c750bd212053a5be39c7e04cc1096949,ce940593d9dd4a6b0887abccbe31ae381738ee88ec88defa94f23175d1796946,stop,624,826,805,32000,"{""effort"": ""medium""}",0,,openai/gpt-5.5,OpenAI,
2026-07-30T14:50:14.673877+00:00,rubiks,21,1,True,1,1038,11.251683950424194,,rubiksnom-d01-i021,3x3x3,1,1.0,strict,,openai/gpt-5.5-20260423,gpt55-reason,True,unset,openrouter,41,base-first,fd2d98bc19145d78cd01bd6d15d026b0c750bd212053a5be39c7e04cc1096949,ce940593d9dd4a6b0887abccbe31ae381738ee88ec88defa94f23175d1796946,stop,624,414,406,32000,"{""effort"": ""medium""}",0,,openai/gpt-5.5,OpenAI,
2026-07-30T14:50:32.747510+00:00,rubiks,12,1,True,1,1522,16.880326986312866,,rubiksnom-d01-i012,3x3x3,1,1.0,strict,,openai/gpt-5.5-20260423,gpt55-reason,True,unset,openrouter,42,base-first,fd2d98bc19145d78cd01bd6d15d026b0c750bd212053a5be39c7e04cc1096949,ce940593d9dd4a6b0887abccbe31ae381738ee88ec88defa94f23175d1796946,stop,624,898,890,32000,"{""effort"": ""medium""}",0,,openai/gpt-5.5,OpenAI,
2026-07-30T15:25:30.726815+00:00,rubiks,22,1,True,1,1596,17.877633094787598,,rubiksnom-d01-i022,3x3x3,1,1.0,strict,,openai/gpt-5.5-20260423,gpt55-reason,True,unset,openrouter,52,base-first,fd2d98bc19145d78cd01bd6d15d026b0c750bd212053a5be39c7e04cc1096949,ce940593d9dd4a6b0887abccbe31ae381738ee88ec88defa94f23175d1796946,stop,624,972,964,32000,"{""effort"": ""medium""}",0,,openai/gpt-5.5,OpenAI,
2026-07-30T15:40:17.337160+00:00,rubiks,16,1,True,1,1101,10.797389030456543,,rubiksnom-d01-i016,3x3x3,1,1.0,strict,,openai/gpt-5.5-20260423,gpt55-reason,True,unset,openrouter,60,base-first,fd2d98bc19145d78cd01bd6d15d026b0c750bd212053a5be39c7e04cc1096949,ce940593d9dd4a6b0887abccbe31ae381738ee88ec88defa94f23175d1796946,stop,624,477,469,32000,"{""effort"": ""medium""}",0,,openai/gpt-5.5,OpenAI,
